trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,12,-87.67163911817983,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-99.67868601097518,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-194.7272104117712,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-85.11360945285719,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-184.22787306622564,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-243.52828177437814,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-146.62253934514183,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,15,-111.96654725561064,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-65.81073732519818,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-37.25002631904509,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,7,-17.06602342525633,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-111.82509940797108,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-63.65490704943758,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-103.73234385553059,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,12,-68.31231637430434,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,19.421789080568452,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,4,-14.804522710766223,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,7,7.738547227933799,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,16,-13.925857852219428,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-115.1562017840698,"{0: 29, 1: 0, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,5,-19.332085133418676,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-104.56821174224987,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,2,-163.65172030919484,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 4}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",30,0,-110.27585363301294,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-9.25012994476952,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-14.941717274270683,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,20.493142599488664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,7,-24.38830770426599,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-33.878276149949635,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,5,22.01576011380046,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
