trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-111.71910111734404,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,0,-75.92250327798033,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-100.76906018517582,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-33.022491933365366,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-148.71686124741748,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-160.35896954906187,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9996080256099974}",30,0,-157.0497732892668,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9994880436891754}",20,3,-101.79931557194412,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-246.0850236615578,"{0: 9, 1: 2, 2: 9, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-78.3182492679772,"{0: 14, 1: 1, 2: 1, 3: 4, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9990321561605888}",25,0,-95.9085975246681,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-137.62299375447242,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-150.24633678721779,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9984324097278344}",20,0,-179.65076785122113,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9982005399352042}",30,0,-149.46427188697893,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.99795269895523}",20,0,-143.92497834851685,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9976888907533621}",30,0,-242.6936652005663,"{0: 15, 1: 6, 2: 3, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9974091195505261}",20,0,-112.23446169202971,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9971133898230555}",30,0,-125.32917629011186,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9968017063026194}",35,0,-192.90525371678098,"{0: 19, 1: 4, 2: 9, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9964740739761475}",30,0,-187.99029447322178,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9961304980857502}",20,9,-40.19147860998704,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9957709841286342}",20,0,-67.74009462817321,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9953955378570153}",25,0,-105.33328040981117,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-26.73206886731788,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,0,-57.13554547281134,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,1,-26.954632071123946,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.9937345535898603}",20,0,-148.5747713948608,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9932795409475959}",25,0,-158.36556213326443,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
