trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-100,-382.5619864511587,"{0: 90, 1: 11, 2: 21, 3: 4, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,-6,-280.3955587913566,"{0: 19, 1: 6, 2: 11, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-65,-550.2655069653123,"{0: 52, 1: 10, 2: 15, 3: 5, 4: 8}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-592.3707233527982,"{0: 71, 1: 17, 2: 20, 3: 4, 4: 8}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-726.4515160900982,"{0: 60, 1: 19, 2: 28, 3: 4, 4: 9}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-28,-173.74588087292406,"{0: 35, 1: 7, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-18,-172.77577416325386,"{0: 27, 1: 3, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-92,-853.0768039592408,"{0: 54, 1: 16, 2: 25, 3: 4, 4: 13}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-501.1764741085346,"{0: 75, 1: 14, 2: 22, 3: 2, 4: 7}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-22,-132.7100234984901,"{0: 29, 1: 2, 2: 8, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-94,-513.8938906482596,"{0: 71, 1: 17, 2: 22, 3: 3, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-55,-336.4150459594891,"{0: 51, 1: 6, 2: 16, 3: 3, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-100,-540.9115042600737,"{0: 84, 1: 13, 2: 22, 3: 3, 4: 8}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-34,-193.22279458279425,"{0: 37, 1: 9, 2: 10, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,7,-37.17773853102838,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,-15,-132.20016010760952,"{0: 25, 1: 7, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,11,-3.017605454189193,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-672.9836677111589,"{0: 75, 1: 10, 2: 25, 3: 6, 4: 9}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-82,-360.3086875839978,"{0: 62, 1: 15, 2: 19, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-98,-514.9986727774701,"{0: 71, 1: 12, 2: 27, 3: 2, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-29,-218.87187171149898,"{0: 27, 1: 6, 2: 13, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,-100,-539.1111533206522,"{0: 81, 1: 18, 2: 20, 3: 4, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-560.1395035243323,"{0: 70, 1: 13, 2: 27, 3: 4, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,-18,-232.86748649111848,"{0: 27, 1: 7, 2: 10, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-530.2499824046919,"{0: 78, 1: 16, 2: 21, 3: 3, 4: 7}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,-62,-555.4966697434586,"{0: 48, 1: 13, 2: 26, 3: 5, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,-58,-440.94916499048605,"{0: 52, 1: 10, 2: 18, 3: 2, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-713.1586431268365,"{0: 71, 1: 12, 2: 23, 3: 2, 4: 12}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-674.7954619075356,"{0: 71, 1: 12, 2: 22, 3: 5, 4: 10}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-585.2450121167714,"{0: 76, 1: 11, 2: 27, 3: 4, 4: 7}",0
